what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unknown Host: http://chookapp.github.com/ChookappUpdateSite/content.xml",1384979187562
error,log,,,"Unknown Host: http://chookapp.github.com/ChookappUpdateSite/content.xml",1384979190681
error,log,,,"Unknown Host: http://chookapp.github.com/ChookappUpdateSite/content.xml",1384979193509
error,log,,,"Unknown Host: http://chookapp.github.com/ChookappUpdateSite/content.xml",1384979195784
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1384979205953
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1384979206431
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1384979206450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979206777
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1384979206824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979212782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979214805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979242558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979244620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979253793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979309213
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384979311018
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1384979311020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979311585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979356030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979357043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979378572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979379082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979761047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979763991
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1384979781804
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1384979781820
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.natives",1384979782181
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1384979782237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979787479
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1384979787499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979787986
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1384979826538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979882458
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384979882702
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1384979883231
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1384979883246
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1384979883732
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1384979883734
